Values
loyalty integrity grit
Creativity Honesty Dependability
Responsibility Politeness Ambitious
Professional Knowledgeable Integrity
Observant supportive creative
Meaningful loyal curious
Curious Committed Caring
Integrity effectiveness creativity
elegance authenticity reliability
Honesty perseverance analytical
Honesty integrity Active
Leadership Visionary Honesty
Intelligence Self-Esteem Creativity
"Creativity, Hard-working, awesome-results"
Integrity Consistency Trustworthy
Responsiveness Flexibility Sense-of-Humor
Authenticity Intelligence Altruism
Creativity rigour perseverance
Reason compassion justice
Interesting Cool reliable
Responsibility efficient purposeful
fun creativity innovation
Planner Career-Oriented Helpful
Inspiring Learning Sharing
Patriotism efficiency authentic
"Authentic, inspiring, creative"
Trustfull Empathetic Knowledgeable
professional hard-work conscientiuous
"Assertiveness, Honesty and Integrity"
"creativity, altruistic, curious"
Creative Open-minded Compassionate
Compassionate Truthful Shrewd
honesty loyal caring
Crazy Lively Keen
Integrity Diligence Resourceful
Responsibility Integrity Dedication
"Honest, Innovative, Open"
changing helping influence
"Genuine, empathetic, collaborative"
"Crazy, Lively, Keen"
"Innovative, understanding and realistic"
"Open-mindedness, multiculturalism, creativity"
communicative colourful
"altruism, well-planned, dreamer"
"reliable, observant and dedicated"
Authenticity Nonconformity Integrity
"Energy, content, commitment"
"Honesty, Integrity, Responsibility"
"integrity, honesty, professionalism"
"Honesty, Hardworking and Dedication"
"creative, fearless, bold"
"Focused, Thoughtful, Creative"
friendly tolerance empathy
Honesty Compassion Sensetivity
Strategic Integrative Innovative
"Learn, Share and Inspire."
"respect, value, excellence"
"creativity, ingenuity, loyalty"
